sample_index,problem_index,problem_version,question,answer,question_type,metadata,query_wo,query_cot,question_for_eval,path,prompt,type
54,11,Vision Dominant,"As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°","As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",images/mathverse_images/image_54.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",mathverse_cot
59,12,Vision Dominant,"As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°","As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",images/mathverse_images/image_59.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",mathverse_cot
64,13,Vision Dominant,"As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°","As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",images/mathverse_images/image_64.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",mathverse_cot
69,14,Vision Dominant,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°","As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",images/mathverse_images/image_69.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",mathverse_cot
74,15,Vision Dominant,"As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°","As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",images/mathverse_images/image_74.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",mathverse_cot
79,16,Vision Dominant,"As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°","As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",images/mathverse_images/image_79.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",mathverse_cot
84,17,Vision Dominant,"In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°","In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",images/mathverse_images/image_84.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",mathverse_cot
89,18,Vision Dominant,"then angle 4 is equal to ()
Choices:
A:58°
B:70°
C:110°
D:116°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: then angle 4 is equal to ()
Choices:
A:58°
B:70°
C:110°
D:116°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: then angle 4 is equal to ()
Choices:
A:58°
B:70°
C:110°
D:116°","then angle 4 is equal to ()
Choices:
A:58°
B:70°
C:110°
D:116°",images/mathverse_images/image_89.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: then angle 4 is equal to ()
Choices:
A:58°
B:70°
C:110°
D:116°",mathverse_cot
94,19,Vision Dominant,"As shown in the figure, a parallel b, Then angle 3 = ()
Choices:
A:50°
B:60°
C:70°
D:80°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, a parallel b, Then angle 3 = ()
Choices:
A:50°
B:60°
C:70°
D:80°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a parallel b, Then angle 3 = ()
Choices:
A:50°
B:60°
C:70°
D:80°","As shown in the figure, a parallel b, Then angle 3 = ()
Choices:
A:50°
B:60°
C:70°
D:80°",images/mathverse_images/image_94.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a parallel b, Then angle 3 = ()
Choices:
A:50°
B:60°
C:70°
D:80°",mathverse_cot
99,20,Vision Dominant,"As shown in the figure, then angle ACD = ()
Choices:
A:20°
B:30°
C:40°
D:.70°A70°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then angle ACD = ()
Choices:
A:20°
B:30°
C:40°
D:.70°A70°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle ACD = ()
Choices:
A:20°
B:30°
C:40°
D:.70°A70°","As shown in the figure, then angle ACD = ()
Choices:
A:20°
B:30°
C:40°
D:.70°A70°",images/mathverse_images/image_99.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle ACD = ()
Choices:
A:20°
B:30°
C:40°
D:.70°A70°",mathverse_cot
104,21,Vision Dominant,"As shown in the figure, then the degree of angle 4 is ()
Choices:
A:110°
B:115°
C:120°
D:125°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the degree of angle 4 is ()
Choices:
A:110°
B:115°
C:120°
D:125°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle 4 is ()
Choices:
A:110°
B:115°
C:120°
D:125°","As shown in the figure, then the degree of angle 4 is ()
Choices:
A:110°
B:115°
C:120°
D:125°",images/mathverse_images/image_104.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle 4 is ()
Choices:
A:110°
B:115°
C:120°
D:125°",mathverse_cot
109,22,Vision Dominant,"As shown in the figure, in the diamond ABCD, the degree of angle OBC is ()
Choices:
A:28°
B:52°
C:62°
D:72°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, in the diamond ABCD, the degree of angle OBC is ()
Choices:
A:28°
B:52°
C:62°
D:72°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, in the diamond ABCD, the degree of angle OBC is ()
Choices:
A:28°
B:52°
C:62°
D:72°","As shown in the figure, in the diamond ABCD, the degree of angle OBC is ()
Choices:
A:28°
B:52°
C:62°
D:72°",images/mathverse_images/image_109.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, in the diamond ABCD, the degree of angle OBC is ()
Choices:
A:28°
B:52°
C:62°
D:72°",mathverse_cot
114,23,Vision Dominant,"As shown in the figure, PA and PB are tangent to circle O at A and B respectively. then the degree of angle P is ()
Choices:
A:65°
B:130°
C:50°
D:100°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, PA and PB are tangent to circle O at A and B respectively. then the degree of angle P is ()
Choices:
A:65°
B:130°
C:50°
D:100°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, PA and PB are tangent to circle O at A and B respectively. then the degree of angle P is ()
Choices:
A:65°
B:130°
C:50°
D:100°","As shown in the figure, PA and PB are tangent to circle O at A and B respectively. then the degree of angle P is ()
Choices:
A:65°
B:130°
C:50°
D:100°",images/mathverse_images/image_114.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, PA and PB are tangent to circle O at A and B respectively. then the degree of angle P is ()
Choices:
A:65°
B:130°
C:50°
D:100°",mathverse_cot
119,24,Vision Dominant,"As shown in the figure, the line a parallel b, then the degree of angle 2 is ()
Choices:
A:150°
B:130°
C:100°
D:50°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the line a parallel b, then the degree of angle 2 is ()
Choices:
A:150°
B:130°
C:100°
D:50°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the line a parallel b, then the degree of angle 2 is ()
Choices:
A:150°
B:130°
C:100°
D:50°","As shown in the figure, the line a parallel b, then the degree of angle 2 is ()
Choices:
A:150°
B:130°
C:100°
D:50°",images/mathverse_images/image_119.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the line a parallel b, then the degree of angle 2 is ()
Choices:
A:150°
B:130°
C:100°
D:50°",mathverse_cot
124,25,Vision Dominant,"As shown in the figure, EF parallel BC, AC bisects angle BAF, then the degree of angle C is ()
Choices:
A:50°
B:55°
C:60°
D:65°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, EF parallel BC, AC bisects angle BAF, then the degree of angle C is ()
Choices:
A:50°
B:55°
C:60°
D:65°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, EF parallel BC, AC bisects angle BAF, then the degree of angle C is ()
Choices:
A:50°
B:55°
C:60°
D:65°","As shown in the figure, EF parallel BC, AC bisects angle BAF, then the degree of angle C is ()
Choices:
A:50°
B:55°
C:60°
D:65°",images/mathverse_images/image_124.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, EF parallel BC, AC bisects angle BAF, then the degree of angle C is ()
Choices:
A:50°
B:55°
C:60°
D:65°",mathverse_cot
129,26,Vision Dominant,"As shown in the figure, the height of the flagpole is ().
Choices:
A:8.8
B:10
C:12
D:14",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Applied', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the height of the flagpole is ().
Choices:
A:8.8
B:10
C:12
D:14","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the height of the flagpole is ().
Choices:
A:8.8
B:10
C:12
D:14","As shown in the figure, the height of the flagpole is ().
Choices:
A:8.8
B:10
C:12
D:14",images/mathverse_images/image_129.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the height of the flagpole is ().
Choices:
A:8.8
B:10
C:12
D:14",mathverse_cot
134,27,Vision Dominant,"As shown in the figure, then the slope distance between two adjacent trees is ()
Choices:
A:5m
B:6m
C:7m
D:8m",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Applied', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the slope distance between two adjacent trees is ()
Choices:
A:5m
B:6m
C:7m
D:8m","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the slope distance between two adjacent trees is ()
Choices:
A:5m
B:6m
C:7m
D:8m","As shown in the figure, then the slope distance between two adjacent trees is ()
Choices:
A:5m
B:6m
C:7m
D:8m",images/mathverse_images/image_134.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the slope distance between two adjacent trees is ()
Choices:
A:5m
B:6m
C:7m
D:8m",mathverse_cot
